label,50,61,75,93,114,140,173,213,262,322,396,487,599,737,907,1116,1372,1688,2077
Weighted-mean ICVF in tract posterior thalamic radiation (left),True,True,True,True,True,True,True,True,True,True,True,True,False,False,False,False,False,False,False
Weighted-mean ICVF in tract cingulate gyrus part of cingulum (right),True,True,True,True,True,True,True,True,True,True,True,False,False,False,False,False,False,False,False
Weighted-mean FA in tract forceps minor,True,True,True,True,True,True,True,True,True,True,True,False,False,False,False,False,False,False,False
Weighted-mean ICVF in tract cingulate gyrus part of cingulum (left),True,True,True,True,True,True,True,True,True,True,True,False,False,False,False,False,False,False,False
Weighted-mean ICVF in tract uncinate fasciculus (right),True,True,True,True,True,True,True,True,True,True,True,False,False,False,False,False,False,False,False
Weighted-mean ICVF in tract forceps minor,True,True,True,True,True,True,True,True,True,True,True,False,False,False,False,False,False,False,False
Weighted-mean ICVF in tract inferior fronto-occipital fasciculus (right),True,True,True,True,True,True,True,True,True,True,True,True,False,False,False,False,False,False,False
Weighted-mean ICVF in tract inferior fronto-occipital fasciculus (left),True,True,True,True,True,True,True,True,True,True,True,True,False,False,False,False,False,False,False
Weighted-mean ICVF in tract uncinate fasciculus (left),True,True,True,True,True,True,True,True,True,True,True,False,False,False,False,False,False,False,False
Weighted-mean OD in tract superior thalamic radiation (left),True,True,True,True,True,True,True,True,True,True,True,True,False,False,False,False,False,False,False
Weighted-mean OD in tract superior thalamic radiation (right),True,True,True,True,True,True,True,True,True,True,True,False,False,False,False,False,False,False,False
Weighted-mean FA in tract posterior thalamic radiation (left),True,True,True,True,True,True,True,True,True,True,True,False,False,False,False,False,False,False,False
Weighted-mean ICVF in tract superior longitudinal fasciculus (right),True,True,True,True,True,True,True,True,True,True,True,False,False,False,False,False,False,False,False
Weighted-mean ICVF in tract superior longitudinal fasciculus (left),True,True,True,True,True,True,True,True,True,True,True,False,False,False,False,False,False,False,False
Weighted-mean ICVF in tract superior thalamic radiation (left),True,True,True,True,True,True,True,True,True,True,True,False,False,False,False,False,False,False,False
Weighted-mean ICVF in tract superior thalamic radiation (right),True,True,True,True,True,True,True,True,True,True,True,False,False,False,False,False,False,False,False
Weighted-mean ICVF in tract anterior thalamic radiation (left),True,True,True,True,True,True,True,True,True,True,False,False,False,False,False,False,False,False,False
Weighted-mean ICVF in tract anterior thalamic radiation (right),True,True,True,True,True,True,True,True,True,True,False,False,False,False,False,False,False,False,False
